movie_seq,movie_img,movie_title,movie_type,movie_country,movie_runtime,movie_age,movie_open_date,movie_rating,movie_director,movie_actor,movie_content,,admin_id
1,194004,16세의 사운드트랙,"코미디, 멜로/로맨스",영국,85분,12세 관람가,2020.07.02,6.8,힐러리 셰익스피어,"스칼렛 마샬, 제임스 콜로웨이","“축하는 개뿔! 이제 나만 남았잖아 쪽팔리게!!!”<br/>- 유일한 키스 無경험자 ‘메이지’<br/>“이제 난 공식적인 멍청이다 XX !!!!!”<br/>- 자칭 A등급 현실은 C등급 ‘벤’<br/><br/>바라는 건 현생 탈출 원하는 건 쿨한 인생<br/><br/>별것 아닌 일들로 별일까지 다 해 본<br/>전지적 16세 시점, 반짝이는 흑역사 모먼트!!",,admin01
2,187321,1917,"드라마, 전쟁",미국,119분,15세 관람가,2020.02.19,8.91,샘 멘데스,"조지 맥케이, 딘-찰스 채프먼",제1차 세계대전이 한창인 1917년.<br/>독일군에 의해 모든 통신망이 파괴된 상황 속에서<br/>영국군 병사 '스코필드'(조지 맥케이)와 '블레이크'(딘-찰스 채프먼)에게 하나의 미션이 주어졌다.<br/><br/>함정에 빠진 영국군 부대의 수장 '매켄지' 중령(베네딕트 컴버배치)에게<br/>'에린무어' 장군(콜린 퍼스)의 공격 중지 명령을 전하는 것!<br/><br/>둘은 1600명의 아군과 '블레이크'의 형(리차드 매든)을 구하기 위해<br/>전쟁터 한복판을 가로지르며 사투를 이어가는데...,,admin01
3,194791,1942: 언노운 배틀,전쟁,러시아 연방,117분,15세 관람가,2020.07.29,8.24,이고르 카피로브,"세르게이 자코브, 이반 바타레프, 알렉산드르 버카로프","인류 역사상 최악의 전쟁이라 일컬어지는 제2차 세계대전이 한창인 1942년. 소련군은 부대원의 70%를 잃는 처절한 전투 끝에 군사적 요충지인 르제프의 한 마을을 점령하는데 성공한다. 마을을 재탈환하기 위한 독일군의 공격은 점점 거세지지만 본대로부터의 지원은 고사하고, 부대 전체가 전멸하더라도 위치를 사수하라는 이해할 수 없는 명령만이 주어지는데...<br/><br/>아무도 기억해주지 않더라도 반드시 승리를 만들어내야만 한다!",,admin01
4,182013,21 브릿지: 테러 셧다운,"범죄, 드라마, 스릴러",미국,99분,15세 관람가,2020.10.21 2020.01.01,7.97,브라이언 커크,"채드윅 보스만, J.K. 시몬스, 시에나 밀러","뉴욕 맨해튼 중심에서 벌어진 경찰 연쇄 살해 사건,<br/>범인을 잡기 위해 베테랑 경찰 ‘데이비스’는 극단의 조치를 취한다.<br/><br/>“지금부터 뉴욕 맨해튼의 모든 출구를 전면 봉쇄한다”<br/><br/>주어진 시간은 단 3시간!<br/>모든 수단과 방법을 동원해 놈들을 잡아야 한다.",,admin01
5,189373,69세,드라마,한국,100분,15세 관람가,2020.08.20,8.66,임선애,"예수정, 기주봉, 김준경","“인생 그렇게 쉽게 끝나지 않아…”<br/>69세 효정은 병원에서 치료를 받다가 29세의 남자 간호조무사에게 치욕적인 일을 당한다. 긴 고민 끝에 효정은 동거 중인 동인에게 이 사실을 알리고 경찰에 신고한다. 하지만 경찰과 주변 사람 모두 말도 안 되는 일이라며 효정을 치매 환자로 매도하고, 법원 역시 나이 차이를 근거로 사건의 개연성이 부족하다며 구속영장을 기각한다. 효정은 피해자가 더 고통 받는 현실에 굴하지 않고 용기를 내어 가해자를 향한 일갈을 준비하는데… 아직 살아있는 69세의 나를, 당신은 어떻게 보고 있습니까?",,admin01
6,195668,7월7일,"드라마, 멜로/로맨스",한국,89분,12세 관람가,2020.09.02,7.37,손승현,"정이서, 김희찬","유레카!<br/>영화감독을 꿈꾸던 ‘현수'의 과거.<br/>‘현수’는 우연히 만난 ‘미주’에게 주인공을 제안하고,<br/>함께 촬영하며 연인으로 발전한다.<br/><br/>""뭐라도 하고 있는 거야?""<br/>지칠 대로 지친 '미주'의 현재.<br/>부족한 생활비, 팀장의 막말… 매일이 힘든 ‘미주’는<br/>여전히 꿈만 꾸는 '현수'가 답답하기만 하다.<br/><br/>사소한 한 마디에 크게 다툰 다음 날,<br/>두 사람에게 같은 날이지만 전혀 다른 7월 7일이 시작되는데…<br/><br/>과연 하루의 끝에 기다리고 있는 엔딩은 무엇일까?<br/>우리는 다시 예전처럼 돌아갈 수 있을까?",,admin01
7,200219,800,"전쟁, 액션",중국,149분,15세 관람가,2020.12.10,3.39,관후,"왕첸웬, 어우 하오, 두순","제 2차 세계대전 중일전쟁 초기,<br/>거듭된 패배로 많은 사상자를 내며 중국군이 퇴각하던 중,<br/>800명의 제 524연대는 2만 명의 일본군으로부터 상하이를 지켜내라는 명령을 받는다.<br/><br/>쑤저우 강을 사이에 두고, 외국인들과 부유한 중국인들이 모여 사는 건너편<br/>허름한 사행창고에 배치된 제 524연대는 일본군에 맞서 나흘 밤낮 격전을 펼친다.<br/>한편 쉽게 함락할 수 있을 줄 알았던 상하이에서 발목이 잡혀 초조해진 일본은<br/>격전지를 폭파할 계획을 세우고, 제 524연대 병사들은 목숨을 건 탈출을 해야만 하는데…",,admin01
8,193135,n번째 이별중,"코미디, 멜로/로맨스",미국,104분,12세 관람가,2020.04.01,6.65,앤드류 볼러,"에이사 버터필드, 소피 터너, 스카일러 거손도","여자친구 ‘데비’에게 대차게 차여 충격받은 물리학 천재 ‘스틸먼’.<br/>사랑하는 그녀의 마음을 되돌리고 싶은 그는 두뇌를 풀가동, <br/>가장 후회되는 순간으로 돌아갈 수 있는 타임머신 어플을 개발하고 마는데...<br/><br/>안되면 될 때까지! 지우고 싶은 연애 흑역사는 바로 Ctrl+Z! <br/>과연, ‘스틸먼’은 타임머신 어플로 완벽한 연애에 성공할 수 있을까?",,admin01
9,189537,#살아있다,드라마,한국,98분,15세 관람가,2020.06.24,4.09,조일형,"유아인, 박신혜","원인불명 증세의 사람들의 공격에 통제 불능에 빠진 도시.<br/>영문도 모른 채 잠에서 깬 ‘준우’(유아인)는 아무도 없는 집에 혼자 고립된 것을 알게 된다.<br/>데이터, 와이파이, 문자, 전화 모든 것이 끊긴 채 고립된 상황.<br/>연락이 두절된 가족에 이어 최소한의 식량마저 바닥이 나자 더 이상 버티기 힘들어진 ‘준우’.<br/>하지만 그 순간 건너편 아파트에서 누군가 시그널을 보내온다.<br/>또 다른 생존자 ‘유빈’(박신혜)이 아직 살아있음을 알게 된 ‘준우’는<br/>함께 살아남기 위한 방법을 찾아 나서는데...!<br/><br/>꼭 살아남아야 한다",,admin01
10,197647,가나의 혼인잔치: 언약,"다큐멘터리, 드라마",미국,73분,전체 관람가,2020.11.26,9.39,브렌트 밀러 주니어,"션 알다란, 잭 힙스, 젬마 리주토",우리는 소망을 잃어버렸다.<br/>예수의 언약을 잊어버렸다.<br/><br/>하지만 최근 연구를 통해<br/>숨겨둔 언약의 비밀이 드러나게 되는데…<br/>예수는 무엇을 약속하셨는가!<br/><br/>역사를 통해 드러난 충격적인 비밀이<br/>우리의 영성을 두드린다.<br/><br/>가장 안전하고 정확하게 언약 속 비밀을 맞이하라!,,admin01
11,200449,가을의 마티네,멜로/로맨스,일본,124분,12세 관람가,2020.12.31,8.42,니시타니 히로시,"후쿠야마 마사하루, 이시다 유리코",천재 기타리스트 마키노는 공연을 찾아온 저널리스트 요코에게 첫눈에 반한다.<br/>마키노는 자신의 감정을 적극적으로 표현하지만 현실의 어려움에 부딪힌 요코는 파리로 돌아간다.<br/>서로를 그리워하던 마키노와 요코는 파리에서 재회해 마음을 확인하고<br/>마침내 함께 할 것을 약속한다. 하지만 약속의 그날 마키노가 나타나지 않는데…,,admin01
12,188909,강철비2: 정상회담,"드라마, 액션",한국,142분,15세 관람가,2020.07.29,4.96,양우석,"정우성, 곽도원, 유연석","북미 평화협정 체결을 위한 대한민국 대통령(정우성), 북한의 최고지도자인 위원장(유연석)과 미국 대통령(앵거스 맥페이든)간의 남북미 정상회담이 북한 원산에서 열린다. 북미 사이 좀처럼 이견이 좁혀지지 않는 가운데, 핵무기 포기와 평화체제 수립에 반발하는 북 호위총국장(곽도원)의 쿠데타가 발생하고, 납치된 세 정상은 북한 핵잠수함에 인질로 갇힌다. 그리고, 좁디 좁은 함장실 안, 예기치 못한 진정한 정상회담이 벌어지게 되는데…<br/><br/>동북아시아의 운명이 핵잠수함에 갇혔다!<br/>과연, 남북미 세 지도자는 전쟁 위기를 막을 수 있을 것인가?",,admin01
13,190579,개 같은 것들,"드라마, 스릴러, 미스터리, 범죄, 가족",한국,99분,청소년 관람불가,2020.12.17,6.87,최종학,"지대한, 설지윤, 김승현",하루가 멀다 하고 술에 취해<br/>딸 ‘시아’를 때리기 일쑤인 남자 ‘종구’<br/>그가 사는 마을에서 아동 성폭행 범죄가 연쇄적으로 벌어진다.<br/><br/>그러던 어느 날 ‘시아’가 실종되었다가 다시 찾았지만<br/>더 이상 접근조차 하지 못하게 하는 딸의 태도에<br/>자신이 용의자라는 소문과 의심이 퍼져 나간다.<br/><br/>인생 밑바닥에 떨어진 ‘종구’는<br/>딸을 향한 뒤늦은 후회를 하는데…,,admin01
14,189631,갱,액션,한국,94분,15세 관람가,2020.01.16,6.02,조바른,"차지혁, 조선기, 옥윤중","교도소를 개조해 만든 국내 최악의 고등학교 ‘대훈고’<br/>그리고 그 곳에 온 강제전학생 최지훈.<br/>그의 목표는 단 하나, 이곳에서 ‘짱’이 되는 것!<br/>하지만 현실은 그리 만만치 않다.<br/>종소리가 울리면 매점 대신 지하실로 몰려가는 학생들.<br/>그 곳에는 매일 비밀리에 그들만의 배틀이 시작되고 있었는데…<br/>선생은 물론 학생들까지 싸움에 미쳐있는 곳.<br/>우승하는 자만이 ‘짱‘이 될 수 있는 곳.<br/>여기는 학교인가? 아니, 파이트 클럽이다!",,admin01
