,movie_title,movie_code,distance
2691,pm 11:14,movie_20050117,143.37164
2713,날씨의 아이,movie_20190280,158.45615
2484,콜 미 바이 유어 네임,movie_20178522,163.90395
1473,언어의 정원,movie_20139083,164.93484
371,카,movie_20060149,166.10712
2606,맨발의 기봉이,movie_20060005,166.50447
1764,브로크백 마운틴,movie_20060040,166.8306
3206,동해물과 백두산이,movie_20030420,167.0264
1943,월드 트레이드 센터,movie_20060262,167.84633
75,미쓰 루시힐,movie_20090190,168.89929
2573,괴물,movie_20060151,169.01974
1688,사냥,movie_20154906,169.8334
1031,해프닝,movie_20080829,170.4601
716,차우,movie_20090051,170.46179
1856,소원,movie_20134582,170.80865
2840,4요일: 자살을 부르는 요일,movie_20081698,170.85318
709,미스트,movie_20071042,171.02556
512,모나리자 스마일,movie_20040509,171.70074
1329,오! 문희,movie_20193666,171.9103
209,엑시트,movie_20184621,172.25563
