movie_title,movie_type,movie_content,movie_img,movie_open_date,movie_rating,movie_runtime,movie_actor,movie_director,movie_country,movie_seq
범죄도시2,"범죄, 액션","가리봉동 소탕작전 후 4년 뒤,
 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다.
 
 괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고,
 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다.
 
 ‘마석도’와 금천서 강력반은 한국과 베트남을 오가며
 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데...
 
 나쁜 놈들 잡는 데 국경 없다!
 통쾌하고 화끈한 범죄 소탕 작전이 다시 펼쳐진다!",범죄도시2.jpg,2022.05.18,9.31,106분,"마동석(마석도), 손석구(강해상), 최귀화(전일만)",이상용,대한민국,1
탑건: 매버릭,액션,"최고의 파일럿이자 전설적인 인물 매버릭(톰 크루즈)은 자신이 졸업한 훈련학교 교관으로 발탁된다.
 그의 명성을 모르던 팀원들은 매버릭의 지시를 무시하지만 실전을 방불케 하는 상공 훈련에서 눈으로 봐도 믿기 힘든 전설적인 조종 실력에 모두가 압도된다.
 
 매버릭의 지휘아래 견고한 팀워크를 쌓아가던 팀원들에게 국경을 뛰어넘는 위험한 임무가 주어지자
 매버릭은 자신이 가르친 동료들과 함께 마지막이 될 지 모를 하늘 위 비행에 나서는데…",탑건 매버릭.jpg,2022.06.22,9.76,130분,"톰 크루즈(매버릭), 마일즈 텔러(루스터), 제니퍼 코넬리(페니)",조셉 코신스키,미국,2
공조2: 인터내셔날,"액션, 코미디","공조 이즈 백! 이번엔 삼각 공조다!
 
 남한으로 숨어든 글로벌 범죄 조직을 잡기 위해
 새로운 공조 수사에 투입된 북한 형사 ‘림철령’(현빈).
 수사 중의 실수로 사이버수사대로 전출됐던 남한 형사 ‘강진태’(유해진)는
 광수대 복귀를 위해 모두가 기피하는 ‘철령’의 파트너를 자청한다.
 
 이렇게 다시 공조하게 된 ‘철령’과 ‘진태’!
 ‘철령’과 재회한 ‘민영’(임윤아)의 마음도 불타오르는 가운데,
 ‘철령’과 ‘진태’는 여전히 서로의 속내를 의심하면서도 나름 그럴싸한 공조 수사를 펼친다.
 드디어 범죄 조직 리더인 ‘장명준’(진선규)의 은신처를 찾아내려는 찰나,
 미국에서 날아온 FBI 소속 ‘잭’(다니엘 헤니)이 그들 앞에 나타나는데…!
 
 아직도 짠내 나는 남한 형사,
 여전한 엘리트 북한 형사,
 그리고 FBI 소속 해외파 형사까지!
 각자의 목적으로 뭉친 그들의 짜릿한 공조 수사가 시작된다!",공조2 인터내셔날.jpg,2022.09.07,8.44,129분,"현빈(림철령), 유해진(강진태), 윤아(박민영)",이석훈,대한민국,3
닥터 스트레인지: 대혼돈의 멀티버스,"액션, 판타지, 모험","끝없이 균열되는 차원과 뒤엉킨 시공간의 멀티버스가 열리며
 오랜 동료들, 그리고 차원을 넘어 들어온 새로운 존재들을 맞닥뜨리게 된 ‘닥터 스트레인지’.
 대혼돈 속, 그는 예상치 못한 극한의 적과 맞서 싸워야만 하는데….",닥터 스트레인지 대혼돈의 멀티버스.jpg,2022.05.04,7.22,126분,"베네딕트 컴버배치(닥터 스트레인지), 엘리자베스 올슨(완다 막시모프 / 스칼렛 위치)",샘 레이미,미국,4
헌트,"액션, 드라마","[조직 내 숨어든 스파이를 색출하라!
 ‘사냥꾼’이 될 것인가, ‘사냥감’이 될 것인가!]
 
 망명을 신청한 북한 고위 관리를 통해 정보를 입수한
 안기부 해외팀 ‘박평호’(이정재)와 국내팀 ‘김정도’(정우성)는
 조직 내 숨어든 스파이 ‘동림’ 색출 작전을 시작한다.
 스파이를 통해 일급 기밀사항들이 유출되어 위기를 맞게 되자
 날 선 대립과 경쟁 속, 해외팀과 국내팀은 상대를 용의선상에 올려두고
 조사에 박차를 가한다.
 
 찾아내지 못하면 스파이로 지목이 될 위기의 상황,
 서로를 향해 맹렬한 추적을 펼치던 ‘박평호’와 ‘김정도’는 감춰진 실체에 다가서게 되고,
 마침내 ‘대한민국 1호 암살 작전’이라는 거대한 사건과 직면하게 되는데……
 
 하나의 목표, 두 개의 총구
 의심과 경계 속 두 남자의 신념을 건 작전이 시작된다",헌트.jpg,2022.08.10,8.37,125분,"이정재(박평호), 정우성(김정도), 전혜진(방주경)",이정재,대한민국,5
쥬라기 월드: 도미니언,"액션, 모험","공룡들의 터전이었던 이슬라 누블라 섬이 파괴된 후,
 마침내 공룡들은 섬을 벗어나 세상 밖으로 출몰한다.
 지상에 함께 존재해선 안 될 위협적 생명체인 공룡의 등장으로
 인류 역사상 겪어보지 못한 사상 최악의 위기를 맞이한 인간들.
 지구의 최상위 포식자 자리를 걸고 인간과 공룡의 최후의 사투가 펼쳐진다.",쥬라기 월드 도미니언.jpg,2022.06.01,6.14,147분,"크리스 프랫(오웬 그래디), 브라이스 달라스 하워드(클레어 디어링)",콜린 트레보로우,미국,6
마녀(魔女) Part2. The Other One,액션,"’자윤’이 사라진 뒤,
 정체불명의 집단의 무차별 습격으로 마녀 프로젝트가 진행되고 있는 ‘아크’가 초토화된다.
 그곳에서 홀로 살아남은 ‘소녀’는 생애 처음 세상 밖으로 발을 내딛고 우연히 만난 ‘경희’의 도움으로 농장에서 지내며 따뜻한 일상에 적응해간다.
 한편, ‘소녀’가 망실되자 행방을 쫓는 책임자 ‘장’과 마녀 프로젝트의 창시자 ‘백총괄’의 지령을 받고 제거에 나선 본사 요원 ‘조현’, ‘경희’의 농장 소유권을 노리는 조직의 보스 ‘용두’와 상해에서 온 의문의 4인방까지 각기 다른 목적을 지닌 세력이 하나 둘 모여들기 시작하면서 ‘소녀’ 안에 숨겨진 본성이 깨어나는데…
 
 모든 것의 시작,
 더욱 거대하고 강력해진 마녀가 온다.",마녀(魔女) Part2. The Other One.jpg,2022.06.15,6.59,137분,"신시아(소녀), 박은빈(경희), 서은수(조현)",박훈정,대한민국,7
토르: 러브 앤 썬더,"액션, 모험, 판타지","슈퍼 히어로 시절이여, 안녕!
 이너피스를 위해 자아 찾기 여정을 떠난 천둥의 신 ‘토르’
 
 그러나, 우주의 모든 신들을 몰살하려는 신 도살자 ‘고르’의 등장으로
 ‘토르’의 안식년 계획은 산산조각 나버린다.
 
 ‘토르’는 새로운 위협에 맞서기 위해,
 ‘킹 발키리’, ‘코르그’, 그리고 전 여자친구 ‘제인’과 재회하게 되는데,
 그녀가 묠니르를 휘두르는 ‘마이티 토르’가 되어 나타나 모두를 놀라게 한다.
 
 이제, 팀 토르는 ‘고르’의 복수에 얽힌 미스터리를 밝히고
 더 큰 전쟁을 막기 위한 전 우주적 스케일의 모험을 시작하는데...
 
 우주 최고의 ‘갓’ 매치가 시작된다!",토르 러브 앤 썬더.jpg,2022.07.06,6.38,119분,"크리스 헴스워스(토르), 나탈리 포트만(제인 포스터), 테사 톰슨(발키리)",타이카 와이티티,미국,8
미니언즈2,"애니메이션, 모험, 코미디","세계 최고의 슈퍼 악당을 꿈꾸는 미니보스 ‘그루’와 그를 따라다니는 미니언들.
 어느 날 그루는 최고의 악당 조직 ‘빌런6’의 마법 스톤을 훔치는데 성공하지만
 뉴페이스 미니언 ‘오토’의 실수로 스톤을 잃어버리고 빌런6에게 납치까지 당한다.
 미니보스를 구하기 위해 잃어버린 스톤을 되찾아야 하는 ‘오토’, 그리고 쿵푸를 마스터해야 하는 ‘케빈’, ‘스튜어트’, ‘밥’!
 올여름 극장가를 점령할 MCU(미니언즈 시네마틱 유니버스)가 돌아온다!",미니언즈2.jpg,2022.07.20,7.68,87분,"스티브 카렐(그루 목소리), 타라지 P. 헨슨(벨 바텀 목소리), 양자경",카일 발다,미국,9
헤어질 결심,"멜로/로맨스, 드라마, 서스펜스","산 정상에서 추락한 한 남자의 변사 사건.
 담당 형사 '해준'(박해일)은
 사망자의 아내 '서래'(탕웨이)와 마주하게 된다.
 
 ""산에 가서 안 오면 걱정했어요, 마침내 죽을까 봐.""
 
 남편의 죽음 앞에서 특별한 동요를 보이지 않는 '서래'.
 경찰은 보통의 유가족과는 다른 '서래'를 용의선상에 올린다.
 '해준'은 사건 당일의 알리바이 탐문과 신문,
 잠복수사를 통해 '서래'를 알아가면서
 그녀에 대한 관심이 점점 커져가는 것을 느낀다.
 
 한편, 좀처럼 속을 짐작하기 어려운 '서래'는
 상대가 자신을 의심한다는 것을 알면서도
 조금의 망설임도 없이 '해준'을 대하는데….
 
 진심을 숨기는 용의자
 용의자에게 의심과 관심을 동시에 느끼는 형사
 그들의 <헤어질 결심>",헤어질 결심.jpg,2022.06.29,8.68,138분,"박해일(해준), 탕웨이(서래), 이정현(정안)",박찬욱,대한민국,10
외계+인 1부,"액션, 판타지, SF","2022년 현재, ‘가드’(김우빈)’와 ‘썬더’는 인간의 몸에 가두어진 외계인 죄수를 관리하며 지구에 살고 있다.
 어느 날, 서울 상공에 우주선이 나타나고
 형사 ‘문도석’(소지섭)은 기이한 광경을 목격하게 되는데..
 
 한편, 630년 전 고려에선 얼치기 도사 ‘무륵’(류준열)과 천둥 쏘는 처자 ‘이안’(김태리)이
 엄청난 현상금이 걸린 신검을 차지하기 위해 서로를 속고 속이는 가운데
 신검의 비밀을 찾는 두 신선 ‘흑설’(염정아)과 ‘청운’(조우진),
 가면 속의 ‘자장’(김의성)도 신검 쟁탈전에 나선다.
 그리고 우주선이 깊은 계곡에서 빛을 내며 떠오르는데…
 
 2022년 인간 속에 수감된 외계인 죄수를 쫓는 이들
 1391년 고려 말 소문 속의 신검을 차지하려는 도사들
 
 시간의 문이 열리고
 모든 것이 바뀌기 시작했다!",외계+인 1부.jpg,2022.07.20,7.53,142분,"류준열(무륵), 김우빈(가드/썬더), 김태리(이안)",최동훈,대한민국,11
브로커,드라마,"세탁소를 운영하지만 늘 빚에 시달리는 ‘상현’(송강호)과
 베이비 박스 시설에서 일하는 보육원 출신의 ‘동수’(강동원).
 거센 비가 내리는 어느 날 밤,
 그들은 베이비 박스에 놓인 한 아기를 몰래 데려간다.
 하지만 이튿날, 생각지 못하게 엄마 ‘소영’(이지은)이 아기 ‘우성’을 찾으러 돌아온다.
 아기가 사라진 것을 안 소영이 경찰에 신고하려 하자 솔직하게 털어놓는 두 사람.
 우성이를 잘 키울 적임자를 찾아 주기 위해서 그랬다는 변명이 기가 막히지만
 소영은 우성이의 새 부모를 찾는 여정에 상현, 동수와 함께하기로 한다.
 
 한편 이 모든 과정을 지켜본 형사 ‘수진’(배두나)과 후배 ‘이형사’(이주영).
 이들을 현행범으로 잡고 반 년째 이어온 수사를 마무리하기 위해 조용히 뒤를 쫓는다.
 
 베이비 박스,
 그곳에서 의도치 않게 만난 이들의
 예기치 못한 특별한 여정이 시작된다.",브로커.jpg,2022.06.08,5.56,129분,"송강호(상현), 강동원(동수), 배두나(수진)",고레에다 히로카즈,대한민국,12
신비한 동물들과 덤블도어의 비밀,"판타지, 모험, 가족","1930년대, 제2차 세계대전에 마법사들이 개입하게 되면서
 강력한 어둠의 마법사 그린델왈드의 힘이 급속도로 커진다.
 덤블도어는 뉴트 스캐맨더에게 위대한 마법사 가문 후손,
 마법학교의 유능한 교사, 머글 등으로 이루어진 팀에게 임무를 맡긴다.
 이에 뉴트와 친구들은 머글과의 전쟁을 선포한
 그린델왈드와 추종자들, 그의 위험한 신비한 동물들에 맞서 세상을 구할 거대한 전쟁에 나선다.
 한편 전쟁의 위기가 최고조로 달한 상황 속에서 덤블도어는
 더 이상 방관자로 머물 수 없는 순간을 맞이하고, 서서히 숨겨진 비밀이 드러나는데…",신비한 동물들과 덤블도어의 비밀.jpg,2022.04.13,6.49,142분,"에디 레드메인(뉴트 스캐맨더), 주드 로(알버스 덤블도어), 매즈 미켈슨(겔러트 그린델왈드)",데이빗 예이츠,미국,13
